الرقم,اليوم,التاريخ,الوقت,نوع المنشور,الستايل,الهدف,العنوان,السكربت أو الكابشن
1,الجمعة,2026-05-01,14:00,post,Minimalist / Clean,تسويقي,إطلاق قناة واتساب المعهد,"🚀 معهد اليمان يطلق قناة واتساب رسمية!
.
وين كنت عنا كل هالوقت؟ 😅
.
من اليوم، رح توصلك التنبيهات، الحسومات، ومواعيد التسجيل قبل أي حدا.
.
📌 3 أسباب تشترك فيها:
✅ أولوية التسجيل بالدورات
✅ حسومات حصرية لأعضاء القناة
✅ تنويهات الامتحانات والجلسات
.
رابط القناة بالبايو 🔗
.
#معهد_اليمان #قناة_واتساب #بكالوريا2026"
2,السبت,2026-05-02,18:00,reel,Motion Graphics / Cinematic,تسويقي,بورتفوليو معهد اليمان,"🎬 سكربت الريل (موسيقى هادئة تصاعدية، أصوات أنيميشن، صوت narrator رجولي هادئ):
.
[0:00-0:03] لوقو المعهد يدور ببطء ثم يتوقف.
Narrator: ""معهد اليمان... مش مجرد معهد.""
.
[0:03-0:08] أرقام تظهر وتتحرك: 12,487 طالب | 43 أستاذ | 9 سنوات
Narrator: ""أكثر من 12 ألف طالب، 43 أستاذ خبير، 9 سنوات من التميز.""
.
[0:08-0:15] لقطات سريعة (وهمية) لقاعات وأساتذة وطلاب.
Narrator: ""هيدا مش حكي... هيدا إنجاز.""
.
[0:15-0:20] لوقو المعهد يظهر ثانية مع نص: ""مستعد تكون جزء من القصة؟""
Narrator: ""مستعد؟""
.
🎵 موسيقى تنتهي بنبضة قلب
.
الكابشن:
منيح إنك عم تشوف هالريل... معناتا انت جاهز تغير حياتك الأكاديمية 🔥
.
#بورتفوليو_اليمان #معهد_اليمان #بريفيه2026"
3,الأحد,2026-05-03,14:00,post,Bold / High Contrast,تسويقي,حسم شهر 5 على الدورة الصيفية,"🔥🔥🔥 حَسَم شَهْر 5 🔥🔥🔥
.
نعم. 25% حسم.
.
عالدورة الصيفية.
.
إلك لحد 15/5.
.
مشان الله، لا تنتظر... المقاعد مش عم تنطر حدا.
.
رابط التسجيل بالبايو 🤝
.
#حسم_شهر_5 #دورة_صيفية_اليمان #بريفيه2026 #تاسع2026"
4,الاثنين,2026-05-04,16:00,reel,Street Interview / Raw,تسويقي,آراء العملاء - جزء 1,"🎬 سكربت الريل (كاميرا محمولة، إضاءة طبيعية، أصوات شارع خفيفة):
.
[لقطة 1] طالب بلباس عادي، يمشي خارج المعهد.
الطالب (بضحكة خفيفة): ""صراحة؟ أول مرة جيت، قلت جرب وبس. بس والله... هالأستاذة سماح خلتني أحب الرياضيات. أنا كنت أكرهها.""
.
[لقطة 2] طالبة مع رفيقتها، توقفوهن بالشارع.
الطالبة: ""أهلي صاروا يستغربوا... عم أدرس بدون ما حدا يضربني ع راسي. مش طبيعي الفرق.""
.
[لقطة 3] شاب مع كاسة قهوة.
الشاب: ""أنا حولت من 12 بالفيزياء لـ 18. شو بدك أكتر من هيك؟""
.
[نهاية سريعة] لقطة جماعية طلاب يضحكوا.
نص على الشاشة: ""مو كلهم قنوعين؟ إحنا كمان""
.
الكابشن:
آراء حقيقية. مش ممثلين. مش مجبرين. والله لو بدي كذب... كان جبت سكريبت أحلى 😂💔
.
#آراء_العملاء #معهد_اليمان #صدق_أو_لا_تصدق"
5,الأربعاء,2026-05-06,14:00,post,Warm / Human,تسويقي,معايدة عيد العمال,"لكل إنسان بشتغل... سواء كنت أستاذ، موظف استقبال، عامل نظافة، أو مدير.
.
عيد عمال وانت مبسوط؟ ياريت. وانت متعب؟ برضه عيد مبارك.
.
إحنا بمعهد اليمان منحبش نضيع مناسبات. هيدا شكر صغير من القلب، قبل ما نرجع نضغط ع حالنا لآخر السنة.
.
كل عام وأنت قوة هالبلد الحقيقية 🇸🇾❤️
.
#عيد_العمال #معهد_اليمان #شكر_من_القلب"
6,الخميس,2026-05-07,18:00,reel,Talk Show / Sitting,توعوي,مشاكل مألوفة عند الطلاب,"🎬 سكربت الريل (كاميرا ثابتة، أستاذ جالس ع كرسي مريح، إضاءة دافئة):
.
الأستاذ (بهدوء): ""تعال... اجلس. بدي أحكيلك شي.""
.
[يغير وضعه، يتنهد]
الأستاذ: ""أكبر مشكلة بشوفها عند الطلاب... إنو يعرف شو بدو يدرس بس ما يعرف كيف. يضل يحفظ ويتعب والنتيجة... صفر.""
.
[يشير بإصبعو للكاميرا]
الأستاذ: ""المشكلة مش بذكائك. المشكلة إنو ما حدا علمك كيف تدرس. وإحنا هون بنعلمك كيف.""
.
[يبتسم]
الأستاذ: ""خلص. رجعت تحب المواد ولا لسا؟""
.
الكابشن:
لو كان عندك أستاذ متل هيك... كنت صرت دكتور ولا مهندس من زمان؟ 😂
.
#نصائح_اليمان #مشاكل_طلاب #استاذ_عمار"
7,الجمعة,2026-05-08,16:00,reel,Street Interview / Raw,تسويقي,آراء العملاء - جزء 2,"🎬 سكربت الريل (نفس الستايل الخام، ناس مختلفين):
.
[لقطة 1] أم وابنها خارج المعهد.
الأم: ""أنا أم... والله ما بضحك عليك. ابني كان نايم ع حالو. صار يجيب علامات ويحكي معي بالبيت. شو بدي أكتر؟""
.
[لقطة 2] طالب مع أستاذ يمر جنبه.
الطالب (بسرعة): ""الأستاذ عماد... لو بدي أحكي عنو ما بخلص. بس شو بدي قول؟ أنقذني بالكيمياء.""
.
[لقطة مفاجئة في النهاية - طالب يضحك بصوت عالي]
الطالب: ""والله المعهد كتير منيح... بس مشكلتو إنو كتير قريب ع بيتي، صرت أتأخر عمداً مشان أمشي زيادة 😂""
.
[نص ينزل: ""هيدا آخر واحد راح نعطيه مصاري ع هالحكي""]
.
الكابشن:
الجزء الثاني... وهيدا مش آخر شي. اللي بدو يحكي عن تجربتو... تعال خاص. نصورك ع السريع 🤍
.
#آراء_اليمان_2 #توصية_حقيقية"
8,السبت,2026-05-09,18:00,reel,Vlog / Dynamic POV,تفاعلي,يوم في حياة طالب اليمان,"🎬 سكربت الريل (كاميرا POV سريعة، موسيقى ترند حيوية، انتقالات سريعة):
.
[لقطة POV: اليد تطفى المنبه]
نص: ""6:30 الصبح... ليه؟ ليه؟؟""
.
[لقطة POV: الأكل بسرعة]
نص: ""الفطور الصح: رقاقة و 3 دقايق""
.
[لقطة POV: الدخول للمعهد]
نص: ""وصلنا... الله يستر""
.
[لقطة POV: أستاذ يشرح ع السبورة]
نص: ""محاضرة وحدة حلت 80% من مشاكلي""
.
[لقطة POV: استراحة مع الرفاق]
نص: ""أهم وقت باليوم... قهوة وضحكة""
.
[لقطة POV: الخروج والشمس]
نص: ""طلعنا... تعبان وراضي""
.
الكابشن:
هيدا يومي... أنا مو ممثل ولا مؤثر. أنا طالب زيك. الفرق إني لقيت المكان الصح.
شاركني بيومك أنت بتعليق 🤍
.
#يوم_في_حياة_طالب #POV_اليمان"
9,الأحد,2026-05-10,14:00,carousel,Infographic / Flat Design,تسويقي,خدمات الدورة الصيفية (نسخة محدثة),"
📌 سلايد 1: شو بتقدم الدورة الصيفية؟
.
📌 سلايد 2: ✏️ شرح مكثف لكل مواد البريفيه (رياضيات - فيزياء - علوم - عربي - إنجليزي - فرنسي)
.
📌 سلايد 3: 🧠 تقنيات دراسة حديثة (مش حفظ، فهم)
.
📌 سلايد 4: 📝 جلسات امتحانية أسبوعية تحاكي الامتحان الرسمي
.
📌 سلايد 5: 👥 مجموعات صغيرة (8-10 طلاب) مش زحمة
.
📌 سلايد 6: 🎁 هدية التسجيل المبكر: حسم 25% + ملفات مجانية
.
الكابشن:
بالعربي المبسط... الدورة الصيفية مش دورك تدرس إللي درستو. هي دورك تتفوق.
سجل هلق. قبل ما المقاعد تخلص.
.
#خدمات_الدورة_الصيفية #اليمان"
10,الثلاثاء,2026-05-12,18:00,reel,Talk Show / Sitting,توعوي,مشاكل مألوفة عند الطلاب (2),"🎬 سكربت الريل (نفس الجلسة، نفس الإضاءة، نفس الأستاذ):
.
الأستاذ (يحك راسه): ""أكثر شي يجرحني؟ طالب عم يدرس 8 ساعات باليوم... وعلامتو 11.""
.
[يسكت لثانية]
الأستاذ: ""لأنو 8 ساعات بدون طريقة... أكل بلا ملح. رح تشبع بس مش رح تستفيد.""
.
[يقرب من الكاميرا شوي]
الأستاذ: ""ساعة ونص بطريقة صح... بتجيب نتيجة 6 ساعات غلط. جرب... وما رح تندم.""
.
الكابشن:
ساعة ونص بس... أنا ما بحكي عن حالو. أنا جربت ع ناس قبلك 🤝
.
#طريقة_دراسة_صحيحة #توجيه_اليمان"
11,الخميس,2026-05-14,19:00,reel,Behind the Scenes / Fun,تفاعلي,تحدي مع الموظفين,"🎬 سكربت الريل (كاميرا هاتف، إضاءة مكتبية، ضحكات):
.
[شخص خلف الكاميرا]: ""بدنا سؤال سريع... مستعدين؟""
.
[موظف 1]: ""خلص""
السؤال: ""شو أكتر شي بيزعجك بالمعهد؟""
الموظف 1 (بضحكة): ""الطلاب اللي بيجي قبل ما يقفل بـ 5 دقايق عشان يسأل 100 سؤال 😂""
.
[موظفة 2]: ""عنجد!""
السؤال: ""مين الأستاذ اللي بتخاف منه؟""
الموظفة 2 (تغمز): ""بدي أقول... بس ما بدي انحكى معو بكرا.""
.
[لقطة سريعة: مجموعة موظفين يضحكوا بصوت عالي]
.
الكابشن:
الموظفين عندنا... بنضحك ع حالنا قبل ما نضحك ع الطلاب 🤣
.
#تحدي_الموظفين #كواليس_اليمان"
12,الجمعة,2026-05-15,14:00,post,Urgent / Dark Mode,تسويقي,متبقي 48 ساعة على انتهاء حسم شهر 5,"🚨🚨🚨 48 ساعة 🚨🚨🚨
.
حسم 25% على الدورة الصيفية رح يروح.
.
بعد يومين... السعر بيرجع طبيعي.
.
إذا كنت ناوي تسجل... سجل هلق.
إذا كنت لسا بتفكر... فكر وانت عم تخسر فرصة.
.
الساعة بتدق. اختار.
.
رابط التسجيل بالبايو ⏳
.
#48_ساعة #حسم_ينتهي #قرارك"
13,السبت,2026-05-16,16:00,reel,Documentary / Slow Motion,تفاعلي/تسويقي,أجواء الدورة الصيفية من الداخل,"🎬 سربت الريل (موسيقى بيانو بطيئة، لقطات بطيئة، راوي صوتي هادئ):
.
[لقطة بطيئة: يد طالب تكتب بالقلم]
Raver (هادي): ""هون... مش مجرد كتابة.""
.
[لقطة بطيئة: أستاذ يشرح ع السبورة، الطباشير يطير ببطء]
Raver: ""هون... شغف عم ينتقل.""
.
[لقطة بطيئة: طالب يتنهد ويرفع راسه]
Raver: ""هون... لحظة الفهم.""
.
[لقطة سريعة: لوحة المعهد من الخارج]
Raver: ""الدورة الصيفية... المكان اللي العمليات الحسابية بتتحول لقصص نجاح.""
.
الكابشن:
فيديو بلا حكي كثير... بلا موسيقا صاخبة. بس أنت لحالك... شو حسيت؟
.
#أجواء_الدورة_الصيفية #سينمائي"
14,الاثنين,2026-05-18,18:00,reel,Talk Show / Sitting,توعوي,مشاكل مألوفة عند الطلاب (3),"🎬 سكربت الريل (نفس السلسلة، نفس الأستاذ):
.
الأستاذ (يحط كاس المي ع جنب): ""سؤال. بتعرف شو الفرق بين الطالب الناجح والطالب اللي يرسب؟""
.
[يضرب إصبعو ع الطاولة]
الأستاذ: ""مش الذكاء. مش الوقت. الصبر. الطالب الناجح... بس يغلط، يرجع يركز. اللي يرسب... بس يغلط، يوقف.""
.
[ينظر للكاميرا بجدية]
الأستاذ: ""غلط... ركز... غلط... ركز. هيدا السر. ومحدا بيحكيه إلك.""
.
الكابشن:
الحلقة الثالثة. لسا في كتير. شو بدك نحكي عنو الأسبوع الجاي؟ 🤔
.
#صبر_ونجاح #نصائح_أستاذ_عمار"   
15,الأربعاء,2026-05-20,16:00,reel,Dramatic / Storytelling,تسويقي,قبل وبعد - طلاب اليمان,"🎬 سكربت الريل (موسيقى درامية تتصاعد):
.   
[0:00-0:05] لقطة بالأبيض والأسود: طالب جالس وحيد، مكتئب.
نص: ""قبل المعهد... علاماتي بين 9 و 11.""
.
[0:05-0:10] لقطة سريعة: يد تحط ورقة الامتحان ع الطاولة.
نص: ""يوم دخلت... ما كنت متوقع شي.""
.
[0:10-0:15] لقطة ملونة وسريعة: طالب عم يضحك مع رفاقو، أستاذ يشرح بحماس.
نص: ""بس شي تغير... مش عارف شو.""
.
[0:15-0:22] لقطة مقربة لورقة امتحان، علامة 18.5 كبيرة.
نص: ""النتيجة؟ أنا نفسي ما صدقت.""
.
[لوقو المعهد]
نص: ""قصتك أنت... وين بتبدا؟""
.
الكابشن:
هيدا مش سيناريو فيلم. هيدا طالب حقيقي. وهيدي قصتو.
بدك تكون البطل الجاي؟ البايو في الرابط.
.
#قبل_وبعد #تحول_اليمان"
16,الخميس,2026-05-21,19:30,carousel,Educational / Soft Colors,تعليمي,كيف تذاكر بفعالية في فترة الامتحانات,"
📘 سلايد 1: كيف تدرس ساعتين وتجيب نتيجة 6 ساعات؟
.
📘 سلايد 2: 🧠 قاعدة 50/10: 50 دقيقة دراسة مركزة + 10 دقائق راحة تامة (بدون موبايل)
.
📘 سلايد 3: 📝 لخص بيدك: القراية لحالها ما بتكفي... خذ قلم واكتب باختصار
.
📘 سلايد 4: ⏰ ذاكر أصعب مادة أول شي... طاقتك عالية بالمحاولة الأولى
.
📘 سلايد 5: 🚫 شاشة ممنوعة قبل النوم بساعة... عقلك يحتاج يرتاح
.
📘 سلايد 6: 🤝 نوم 7 ساعات... مش كسل، استراتيجية ذكاء
.
الكابشن:
من حدا كان علامتو بالارض وطلع... ليك. أضمنلك جرب هالطرق أسبوع واحد.
رح تشكرني بعد الامتحانات.
.
#تقنيات_دراسة #امتحانات_بريفيه #نصيحة_اليمان"
17,الجمعة,2026-05-22,16:00,reel,Trendy / Fast-Paced,تفاعلي,تحدي معلومات عامة مع الطلاب,"🎬 سكربت الريل (موسيقى ترند سريعة، لقطات متقطعة، نصوص على الشاشة):
.
[لقطة سريعة: طالب يسأل بسؤال]
سؤال: ""منو مؤسس معهد اليمان؟""
طالب 1 (بسرعة): ""الأستاذ فادي!""
نص أخضر: ""صح ✅""
.
[لقطة سريعة ثانية]
سؤال: ""كم أستاذ تقريباً بالمعهد؟""
طالب 2 (يتلعثم): ""أه... 40؟""
نص أخضر: ""٤٣ ✅""
.
[لقطة ثالثة]
سؤال: ""شو لون الشعار تبع المعهد؟""
طالب 3 (يضحك): ""أزرق وذهبي... شو هالسؤال السهل؟""
نص أخضر: ""صح ✅""
.
[نهاية سريعة: نسبة الإجابات تظهر 92%]
نص: ""أنت... كم جاوبت؟""
.
الكابشن:
تحدي سريع... جاوب قبل ما يخلص الريل. أنا ناطر تعليقك 🤣
.
#تحدي_اليمان #معلومات_عامة"
18,السبت,2026-05-23,14:00,reel,Highlight Reel / Cinematic,تسويقي,أفضل لقطات آراء العملاء,"🎬 سربت الريل (موسيقى حماسية، انتقالات سريعة ونظيفة):
.
[لقطة 1 من جزء 1] الطالب: ""الأستاذة سماح خلتني أحب الرياضيات.""
[تكست على الشاشة: ""من 10 لـ 17""]
.
[لقطة 2 من جزء 1] الشاب: ""حولت من 12 لـ 18 بالفيزياء""
[تكست: ""+6 درجات""]
.
[لقطة 3 من جزء 2] الأم: ""ابني صار يحكي معي بالبيت""
[تكست: ""ثقة""]
.
[لقطة 4 من جزء 2] الطالب: ""أنقذني بالكيمياء""
[تكست: ""أستاذ عماد 🔥""]
.
[نهاية سريعة]: لوقو المعهد + نص: ""جايين نضاعف هالأرقام معك. مستعد؟""
.
الكابشن:
ما بدي أطول عليك... هيدا أقوى 30 ثانية من آراء طلابنا. شو رأيك؟
.
#أفضل_ما_قدمنا #شهادات_حقيقية"
19,الاثنين,2026-05-25,14:00,post,Minimalist / Clean,تسويقي,تنويه بمواعيد مهمة,"📅 التواريخ اللي ما بتخلص:
.
🗓️ 25/5: بدء التسجيل المسبق للدورة الصيفية
🗓️ 30/5: آخر موعد للحسم (تذكير)
🗓️ 1/6: بدء الجلسات الامتحانية التجريبية
🗓️ 5/6: إعلان جداول الامتحانات الرسمية
.
خلي الصورة عندك... عشان ما تنسا.
.
#مواعيد_هامة #معهد_اليمان"
20,الأربعاء,2026-05-27,18:00,post,Warm / Portrait,تفاعلي,تهنئة وشكر جهود موظف شهر أيار,"هيدا الموظف اللي بيضحكنا دايماً بالاستراحة 🤍
.
الأستاذ/ خالد محمد (أستاذ الرياضيات)
.
زملاءه بحكوا عنو: ""أول واحد بيجي وآخر واحد بيروح"". طلابه بحكوا: ""بيخلينا نحب الأرقام"".
.
شكراً لك يا أستاذ خالد على تعبك اللي ما بتوقف، وروحك الحلوة إللي بتغير جو المعهد كل يوم.
.
موظف شهر أيار بكل فخر.
.
#موظف_الشهر #تكريم #أستاذ_خالد"
21,الجمعة,2026-05-29,18:00,reel,Montage / Energetic,تفاعلي,خلاصة شهر أيار بمعهد اليمان,"🎬 سربت الريل (موسيقى حماسية تصاعدية، مونتاج سريع جداً):
.
[لقطات متتالية 0.5 ثانية لكل لقطة]
- طلاب يضحكوا
- أستاذ يشرح بحماس
- موظفين يتحدوا
- طالب يشرب قهوة
- يد تكتب على السبورة
- لقطة آراء العملاء
- أم وابنها يضحكوا
- ضحكة موظف الشهر
.
[آخر لقطة بطيئة جداً: لوقو المعهد يدور ويستقر]
.
الكابشن:
هيدا كان شهر أيار معكم... والله كان شهر جنوني.
شهر 6 جاي أقوى... مستعدين؟
.
#خلاصة_الشهر #أيار_مع_اليمان"
22,السبت,2026-05-30,14:00,carousel,Clean / Organized,تسويقي,استعداد لشهر 6 + تنويهات قادمة,"
📌 سلايد 1: شهر 6... كلو امتحانات وتفوق إن شاء الله
.
📌 سلايد 2: 🗓️ 1/6 انطلاق الجلسات الامتحانية المجانية للبريفيه
.
📌 سلايد 3: 🎁 مسابقة أقوى طالب بالشهر (جائزة كبرى)
.
📌 سلايد 4: 📝 تنويه: دوام المعهد رح يختلف بعد الامتحانات
.
📌 سلايد 5: 🤝 شكراً لكل طالب وكل أهلاً... أنتو سبب نجاحنا
.
الكابشن:
شهر 5 خلص... شهر 6 بوابتو مصاري، تعب، ونجاح إن شاء الله.
جهز حالك... احنا معك.
.
#شهر_جديد #استعداد_للإمتحانات"