النمط,متى نستخدمه,الموسيقى,الألوان
Minimalist / Clean,تنويهات + إعلانات رسمية,بدون أو خفيفة جداً,ألوان المعهد فقط
Motion Graphics / Cinematic,بورتفوليو + إنجازات,إلهامية بطيئة,داكن + لمسات ذهبية
Bold / High Contrast,حسومات + عروض,صامت أو beat قوي,أحمر + أبيض + أسود
Street Interview / Raw,آراء العملاء,خلفية كاجوال,طبيعية بدون فلتر
Talk Show / Sitting,يقيوست الأساتذة,خفيفة حوارية,إضاءة دافئة ناعمة
Vlog / Dynamic POV,يوميات + توثيق,حيوية + ترند,طبيعية + ساطعة
Documentary / Slow Mo,أجواء دراسية,بيانو + راوي,باهتة + ناعمة
Dramatic / Storytelling,قبل وبعد,درامية تتصاعد,مظلمة ← مضيئة
Urgent / Dark Mode,آخر فرصة + عد تنازلي,tick-tock أو ساكن,أسود + أحمر
Behind the Scenes / Fun,ترفيه موظفين,كاجوال + ضحك,طبيعية عفوية
Trendy / Fast-Paced,تحديات + تفاعل,ترند حالي,متغيرة وسريعة
Highlight Reel / Cinematic,أفضل اللقطات,حماسية قوية,سينمائية
Warm / Human,شكر + مناسبات إنسانية,ناعمة دافئة,بيج + برتقالي ناعم
Educational / Soft,نصائح + تعليمي,هادئة مركزة,أزرق فاتح + أبيض
Infographic / Flat Design,خدمات + معلومات,بدون أو خفيفة,مسطحة + متناسقة
Warm / Portrait,شكر موظف الشهر,ناعمة دافئة,بيج + بورتريه
Clean / Organized,تنويهات شاملة,بدون,هادئة + مرتبة
Montage / Energetic,خلاصة شهر,حماسية,متنوعة + سريعة